,Decision Tree,LDA,Logistic,Random Forest,SVM,XGBoost
AUC_macro_test,0.4683564740071036,0.44454310623183724,0.4478527607361964,0.5034711010655473,,0.47441072005166296
Accuracy_test,0.6359832635983264,0.6778242677824268,0.6778242677824268,0.6485355648535565,0.6820083682008368,0.6820083682008368
F1_weighted_test,0.5639967977765088,0.5654329575228648,0.5654329575228648,0.589982255008098,0.5605804098272718,0.5530714627698329
Sensitivity_test,0.8957055214723927,0.9815950920245399,0.9815950920245399,0.8895705521472392,0.9938650306748467,1.0
Specifity_test,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.013157894736842105,0.0
