,Decision Tree,LDA,Logistic,Random Forest,SVM,XGBoost
AUC_macro_test,0.5053354325198985,0.5164873611475553,0.5164873611475553,0.48709874923467156,,0.5104412665092277
Accuracy_test,0.6695842450765864,0.6761487964989059,0.6761487964989059,0.5951859956236324,0.6761487964989059,0.6761487964989059
F1_weighted_test,0.5423369114774973,0.5455090812484645,0.5455090812484645,0.5891777258381471,0.5455090812484645,0.5455090812484645
Sensitivity_test,0.9902912621359223,1.0,1.0,0.7249190938511327,1.0,1.0
Specifity_test,0.0,0.0,0.0,0.32432432432432434,0.0,0.0
