,Decision Tree,LDA,Logistic,Random Forest,SVM,XGBoost
AUC_macro_test,0.5519029878004237,0.6233472130908028,0.6244429834173424,0.5807947987435167,,0.5764482431149097
Accuracy_test,0.644,0.676,0.676,0.628,0.672,0.676
F1_weighted_test,0.5815774185222553,0.5885473684210527,0.5885473684210527,0.6068683115159558,0.5957400000000002,0.5453174224343675
Sensitivity_test,0.893491124260355,0.9585798816568047,0.9585798816568047,0.7988165680473372,0.9408284023668639,1.0
Specifity_test,0.12345679012345678,0.08641975308641975,0.08641975308641975,0.2716049382716049,0.1111111111111111,0.0
